time;Azymut:;Kąt Pitch:;Kąt Roll:
2.300;-169.676;-40.480;-2.134
2.300;-169.676;-40.480;-2.134
2.309;-172.342;-40.480;-2.134
2.317;149.891;-42.432;3.350
2.318;149.891;-42.432;3.350
2.333;147.216;-42.432;3.350
2.337;-162.360;-40.640;-3.782
2.337;-162.360;-40.640;-3.782
2.349;-167.097;-40.640;-3.782
2.357;166.836;-37.053;1.991
2.357;166.836;-37.053;1.991
2.369;167.278;-37.053;1.991
2.377;167.709;-36.338;2.098
2.378;167.709;-36.338;2.098
2.389;168.717;-36.338;2.098
2.401;172.146;-35.411;1.368
2.401;172.146;-35.411;1.368
2.409;171.673;-35.411;1.368
2.417;-174.655;-34.812;-2.497
2.418;-174.655;-34.812;-2.497
2.434;-175.465;-34.812;-2.497
2.437;-165.783;-37.558;-4.470
2.437;-165.783;-37.558;-4.470
2.450;-165.732;-37.558;-4.470
2.457;-175.528;-37.620;-2.143
2.457;-175.528;-37.620;-2.143
2.469;-175.068;-37.620;-2.143
2.477;175.138;-34.432;0.459
2.477;175.138;-34.432;0.459
2.489;173.234;-34.432;0.459
2.501;173.613;-31.968;0.735
2.502;173.613;-31.968;0.735
2.509;175.185;-31.968;0.735
2.517;174.044;-31.380;1.207
2.517;174.044;-31.380;1.207
2.534;172.789;-31.380;1.207
2.536;175.430;-32.893;0.123
2.537;175.430;-32.893;0.123
2.551;175.526;-32.893;0.123
2.557;175.710;-35.491;-0.207
2.557;175.710;-35.491;-0.207
2.569;175.876;-35.491;-0.207
2.577;179.231;-34.154;-0.931
2.577;179.231;-34.154;-0.931
2.589;178.807;-34.154;-0.931
2.601;-178.847;-31.163;-1.634
2.601;-178.847;-31.163;-1.634
2.609;-178.256;-31.163;-1.634
2.617;-175.877;-31.003;-2.453
2.618;-175.877;-31.003;-2.453
2.633;-175.115;-31.003;-2.453
2.637;177.129;-30.456;0.220
2.638;177.129;-30.456;0.220
2.651;176.779;-30.456;0.220
2.657;171.950;-31.400;1.764
2.658;171.950;-31.400;1.764
2.669;172.417;-31.400;1.764
2.677;174.662;-26.874;1.554
2.677;174.662;-26.874;1.554
2.689;174.711;-26.874;1.554
2.701;-178.816;-20.944;-1.584
2.701;-178.816;-20.944;-1.584
2.709;-178.816;-20.944;-1.584
2.718;-179.076;-20.084;-1.448
2.719;-179.076;-20.084;-1.448
2.734;-179.076;-20.084;-1.448
2.737;176.631;-24.824;0.829
2.738;176.631;-24.824;0.829
2.751;176.631;-24.824;0.829
2.757;170.894;-32.333;2.135
2.758;170.894;-32.333;2.135
2.769;170.894;-32.333;2.135
2.777;178.298;-18.827;0.216
2.777;178.298;-18.827;0.216
2.789;178.207;-18.827;0.216
2.805;-178.355;-12.599;-2.102
2.805;-178.355;-12.599;-2.102
2.809;-177.642;-12.599;-2.102
2.821;177.884;-15.843;0.780
2.822;177.884;-15.843;0.780
2.829;177.804;-15.843;0.780
2.836;167.110;-24.088;4.727
2.837;167.110;-24.088;4.727
2.849;165.866;-24.088;4.727
2.856;173.186;-25.038;1.824
2.857;173.186;-25.038;1.824
2.869;171.878;-25.038;1.824
2.876;-177.164;-12.179;-2.332
2.877;-177.164;-12.179;-2.332
2.889;-175.766;-12.179;-2.332
2.900;-174.376;-7.592;-3.595
2.901;-174.376;-7.592;-3.595
2.909;-174.440;-7.592;-3.595
2.917;167.544;-7.307;7.523
2.918;167.544;-7.307;7.523
2.929;167.016;-7.307;7.523
2.937;170.594;-9.997;4.802
2.937;170.594;-9.997;4.802
2.951;171.086;-9.997;4.802
2.957;-167.450;-14.209;-5.553
2.957;-167.450;-14.209;-5.553
2.969;-166.434;-14.209;-5.553
2.977;-170.986;-7.039;-4.757
2.977;-170.986;-7.039;-4.757
2.989;-170.497;-7.039;-4.757
3.001;179.488;-3.422;0.653
3.001;179.488;-3.422;0.653
3.009;179.876;-3.422;0.653
3.018;170.996;-1.941;5.898
3.018;170.996;-1.941;5.898
3.029;170.488;-1.941;5.898
3.037;170.382;0.371;6.356
3.037;170.382;0.371;6.356
3.050;170.896;0.371;6.356
3.057;-174.154;-10.682;-1.619
3.057;-174.154;-10.682;-1.619
3.069;-175.489;-10.682;-1.619
3.077;-175.277;-16.745;-1.148
3.077;-175.277;-16.745;-1.148
3.089;-175.170;-16.745;-1.148
3.101;-163.851;-15.020;-5.142
3.101;-163.851;-15.020;-5.142
3.109;-161.754;-15.020;-5.142
3.118;-172.846;-10.415;-2.420
3.119;-172.846;-10.415;-2.420
3.129;-171.182;-10.415;-2.420
3.137;173.435;-4.349;3.783
3.138;173.435;-4.349;3.783
3.151;172.285;-4.349;3.783
3.157;162.244;0.515;10.177
3.157;162.244;0.515;10.177
3.170;161.020;0.515;10.177
3.177;165.414;-0.834;7.337
3.177;165.414;-0.834;7.337
3.189;164.393;-0.834;7.337
3.201;-166.372;-2.226;-6.741
3.202;-166.372;-2.226;-6.741
3.209;-166.533;-2.226;-6.741
3.219;-161.753;-6.364;-7.628
3.220;-161.753;-6.364;-7.628
3.229;-160.270;-6.364;-7.628
3.237;176.787;-1.984;0.562
3.238;176.787;-1.984;0.562
3.251;175.806;-1.984;0.562
3.257;174.154;-0.694;1.332
3.257;174.154;-0.694;1.332
3.269;174.169;-0.694;1.332
3.277;179.643;3.363;-0.620
3.277;179.643;3.363;-0.620
3.289;178.419;3.363;-0.620
3.302;175.585;7.120;0.863
3.302;175.585;7.120;0.863
3.309;175.569;7.120;0.863
3.318;-178.475;15.247;-2.089
3.319;-178.475;15.247;-2.089
3.329;-178.601;15.247;-2.089
3.337;-172.539;13.840;-5.413
3.338;-172.539;13.840;-5.413
3.351;-172.511;13.840;-5.413
3.357;-176.527;15.197;-3.394
3.357;-176.527;15.197;-3.394
3.369;-177.250;15.197;-3.394
3.377;179.331;14.320;-1.558
3.377;179.331;14.320;-1.558
3.389;-179.551;14.320;-1.558
3.397;-177.164;19.629;-2.996
3.397;-177.164;19.629;-2.996
3.409;-177.709;19.629;-2.996
3.418;-174.724;15.402;-4.421
3.419;-174.724;15.402;-4.421
3.429;-173.881;15.402;-4.421
3.438;-177.557;14.081;-2.503
3.438;-177.557;14.081;-2.503
3.451;-177.860;14.081;-2.503
3.457;-174.608;13.632;-4.022
3.457;-174.608;13.632;-4.022
3.469;-174.749;13.632;-4.022
3.477;179.362;12.978;-1.254
3.477;179.362;12.978;-1.254
3.490;179.335;12.978;-1.254
3.502;174.438;14.132;1.053
3.503;174.438;14.132;1.053
3.509;174.978;14.132;1.053
3.519;177.843;13.857;-0.269
3.519;177.843;13.857;-0.269
3.529;176.911;13.857;-0.269
3.537;175.512;11.950;0.233
3.537;175.512;11.950;0.233
3.551;175.770;11.950;0.233
3.557;-174.852;10.271;-3.586
3.557;-174.852;10.271;-3.586
3.569;-174.700;10.271;-3.586
3.576;-176.969;9.587;-2.649
3.577;-176.969;9.587;-2.649
3.589;-176.931;9.587;-2.649
3.597;176.917;10.525;-0.337
3.597;176.917;10.525;-0.337
3.609;176.340;10.525;-0.337
3.618;178.715;11.521;-1.233
3.619;178.715;11.521;-1.233
3.629;178.983;11.521;-1.233
3.637;-178.957;12.487;-2.055
3.637;-178.957;12.487;-2.055
3.652;-178.744;12.487;-2.055
3.656;-178.345;12.110;-2.207
3.657;-178.345;12.110;-2.207
3.669;-177.162;12.110;-2.207
3.677;-178.572;12.945;-1.665
3.677;-178.572;12.945;-1.665
3.689;179.825;12.945;-1.665
3.696;178.662;14.730;-1.146
3.697;178.662;14.730;-1.146
3.709;178.731;14.730;-1.146
3.719;179.660;16.678;-1.543
3.720;179.660;16.678;-1.543
3.729;-179.745;16.678;-1.543
3.737;-177.945;17.488;-2.411
3.738;-177.945;17.488;-2.411
3.752;-179.046;17.488;-2.411
3.757;-178.721;16.517;-2.548
3.757;-178.721;16.517;-2.548
3.769;-178.320;16.517;-2.548
3.777;178.690;14.834;-1.219
3.777;178.690;14.834;-1.219
3.789;178.371;14.834;-1.219
3.797;176.212;14.690;-0.267
3.797;176.212;14.690;-0.267
3.809;176.982;14.690;-0.267
3.818;176.249;15.012;0.076
3.819;176.249;15.012;0.076
3.829;176.152;15.012;0.076
3.837;-178.716;16.015;-2.267
3.838;-178.716;16.015;-2.267
3.852;-178.697;16.015;-2.267
3.857;179.943;16.920;-1.639
3.858;179.943;16.920;-1.639
3.869;179.949;16.920;-1.639
3.877;179.211;17.651;-1.283
3.877;179.211;17.651;-1.283
3.889;179.202;17.651;-1.283
3.897;177.517;17.142;-0.500
3.897;177.517;17.142;-0.500
3.909;177.489;17.142;-0.500
3.919;-179.185;16.422;-2.031
3.919;-179.185;16.422;-2.031
3.929;-179.403;16.422;-2.031
3.937;179.685;15.712;-1.626
